%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=213719, 2020/01/8 10:45:53.20)
1 9 3.045940e+00 0 0 1.170194e-01 2.925261e+00 6.220505e-01 1.286420e+00 
2 17 3.705501e+00 0 0 1.397671e-01 3.355815e+00 9.537474e-01 1.514252e+00 
3 25 3.685802e+00 0 0 1.318337e-01 3.174217e+00 9.192563e-01 1.542362e+00 
4 33 3.336119e+00 0 0 1.189762e-01 2.831838e+00 7.957596e-01 1.323963e+00 
5 41 3.116524e+00 0 0 1.090166e-01 2.597125e+00 7.109760e-01 1.179490e+00 
6 49 2.835488e+00 0 0 9.705700e-02 2.232916e+00 6.281398e-01 1.043623e+00 
7 57 2.816782e+00 0 0 1.078669e-01 2.114097e+00 5.927534e-01 1.000549e+00 
8 65 3.001181e+00 0 0 1.170624e-01 2.278844e+00 6.037194e-01 1.089175e+00 
9 73 2.951000e+00 0 0 1.119831e-01 2.296159e+00 5.798812e-01 1.047754e+00 
10 81 2.628492e+00 0 0 9.410763e-02 2.004343e+00 4.885979e-01 9.055949e-01 
11 89 2.363104e+00 0 0 7.992827e-02 1.801541e+00 4.163730e-01 7.759712e-01 
12 97 2.139006e+00 0 0 7.007797e-02 1.602677e+00 3.566116e-01 6.810137e-01 
13 105 1.948978e+00 0 0 6.278959e-02 1.405789e+00 3.060498e-01 6.017293e-01 
14 113 2.016382e+00 0 0 7.070125e-02 1.383358e+00 3.077454e-01 5.956517e-01 
15 121 1.814112e+00 0 0 6.835194e-02 1.198361e+00 2.624365e-01 5.088366e-01 
16 129 1.925268e+00 0 0 8.014421e-02 1.258698e+00 2.630671e-01 5.174128e-01 
17 137 1.786925e+00 0 0 7.364406e-02 1.149699e+00 2.299350e-01 4.578108e-01 
18 145 1.915759e+00 0 0 8.524453e-02 1.200428e+00 2.332482e-01 4.855409e-01 
19 153 1.880088e+00 0 0 8.584012e-02 1.126177e+00 2.156983e-01 4.544724e-01 
20 161 1.689561e+00 0 0 7.409446e-02 9.679025e-01 1.904447e-01 4.062892e-01 
21 169 1.568616e+00 0 0 6.706453e-02 9.216497e-01 1.686405e-01 3.635580e-01 
22 177 1.447029e+00 0 0 5.926240e-02 8.514229e-01 1.605990e-01 3.253760e-01 
23 185 1.234634e+00 0 0 4.786917e-02 7.085201e-01 1.296934e-01 2.812232e-01 
24 193 1.129584e+00 0 0 4.447359e-02 6.341041e-01 1.128008e-01 2.499653e-01 
25 201 1.257527e+00 0 0 4.810185e-02 8.669378e-01 1.201990e-01 2.790524e-01 
26 209 1.320898e+00 0 0 4.844750e-02 9.811022e-01 1.204160e-01 2.808861e-01 
27 217 1.276202e+00 0 0 4.482142e-02 9.608843e-01 1.098305e-01 2.579417e-01 
28 225 1.067661e+00 0 0 3.709197e-02 7.828229e-01 8.715739e-02 2.101940e-01 
29 233 9.750199e-01 0 0 3.496384e-02 7.077731e-01 7.510986e-02 1.887536e-01 
30 241 9.507054e-01 0 0 3.315947e-02 7.169302e-01 6.948551e-02 1.745218e-01 
31 249 9.670778e-01 0 0 3.595526e-02 7.447955e-01 6.856474e-02 1.704166e-01 
32 257 1.058401e+00 0 0 3.751061e-02 7.737114e-01 7.063994e-02 2.271308e-01 
33 265 1.033315e+00 0 0 3.780251e-02 7.163717e-01 6.726121e-02 2.194610e-01 
34 273 1.159639e+00 0 0 4.090110e-02 7.614904e-01 7.135835e-02 2.863345e-01 
35 281 1.067326e+00 0 0 3.636508e-02 6.688445e-01 6.238706e-02 2.552399e-01 
36 289 8.611882e-01 0 0 2.872718e-02 5.094060e-01 4.769776e-02 1.948638e-01 
37 297 7.601677e-01 0 0 2.496670e-02 4.348605e-01 4.027335e-02 1.634739e-01 
38 305 6.134308e-01 0 0 1.921056e-02 3.307826e-01 3.069617e-02 1.319685e-01 
39 313 6.910320e-01 0 0 2.201317e-02 4.012645e-01 3.264165e-02 1.411242e-01 
40 321 7.193201e-01 0 0 2.270158e-02 4.363099e-01 3.207663e-02 1.389151e-01 
41 329 6.527882e-01 0 0 2.067638e-02 3.841863e-01 2.753335e-02 1.238686e-01 
42 337 6.524903e-01 0 0 2.016980e-02 4.084877e-01 2.594096e-02 1.190501e-01 
43 345 6.146303e-01 0 0 1.911762e-02 3.790318e-01 2.326580e-02 1.094612e-01 
44 353 5.717208e-01 0 0 1.718521e-02 3.411920e-01 2.043604e-02 1.023666e-01 
45 361 5.414109e-01 0 0 1.682445e-02 3.158262e-01 1.829058e-02 9.395171e-02 
46 369 4.598667e-01 0 0 1.402236e-02 2.595810e-01 1.474908e-02 7.606190e-02 
47 377 4.034060e-01 0 0 1.233258e-02 2.208575e-01 1.231861e-02 6.742471e-02 
48 385 3.412239e-01 0 0 9.932115e-03 1.824077e-01 9.880253e-03 5.443942e-02 
49 393 4.094429e-01 0 0 1.228708e-02 2.545719e-01 1.121206e-02 7.686402e-02 
50 401 4.917963e-01 0 0 1.407687e-02 3.402189e-01 1.294221e-02 9.172108e-02 
51 409 5.379190e-01 0 0 1.460971e-02 4.027317e-01 1.336816e-02 1.047654e-01 
52 417 5.467708e-01 0 0 1.423504e-02 4.232631e-01 1.284934e-02 1.028611e-01 
53 425 5.106534e-01 0 0 1.271000e-02 3.938194e-01 1.134580e-02 9.310013e-02 
