%  columns="iteration, evaluation, void, void, void, xmean" (startseed=213719, 2020/01/8 10:45:53.20)
0 1 0 0 0 2.000000e-01 5.000000e+00 1.000000e+00 2.000000e+00 
1 9 0 0 0 2.478665e-01 4.286693e+00 5.002082e-01 7.204769e-01 
2 17 0 0 0 2.853251e-01 4.918199e+00 -5.137067e-01 9.079534e-01 
3 25 0 0 0 2.473045e-01 5.810826e+00 -3.367330e-01 -2.895423e-01 
4 33 0 0 0 1.510118e-01 7.256207e+00 -9.663708e-03 4.726265e-01 
5 41 0 0 0 1.223496e-01 8.379085e+00 -3.172156e-01 7.660098e-01 
6 49 0 0 0 1.061732e-01 7.443424e+00 -6.007886e-01 6.109651e-02 
7 57 0 0 0 2.498634e-01 8.250976e+00 -3.227971e-01 1.762441e-01 
8 65 0 0 0 2.885929e-01 9.498645e+00 -2.870850e-01 -6.781517e-01 
9 73 0 0 0 2.051543e-01 1.096309e+01 2.243984e-02 2.786450e-01 
10 81 0 0 0 2.022504e-01 1.116351e+01 -9.415597e-02 -4.557788e-01 
11 89 0 0 0 2.239822e-01 1.208197e+01 -2.023779e-01 -1.347651e-03 
12 97 0 0 0 2.277661e-01 1.260019e+01 -2.536517e-01 2.649599e-01 
13 105 0 0 0 2.683936e-01 1.176002e+01 -1.872893e-01 4.685066e-01 
14 113 0 0 0 3.331376e-01 1.150829e+01 -3.263836e-02 1.717716e-01 
15 121 0 0 0 2.212105e-01 1.175107e+01 -1.171454e-01 1.105736e-01 
16 129 0 0 0 1.531639e-01 1.244387e+01 -8.884474e-02 5.826287e-02 
17 137 0 0 0 1.566153e-01 1.136145e+01 -6.864494e-02 6.953537e-02 
18 145 0 0 0 8.466909e-02 1.112440e+01 -9.683485e-02 -1.712865e-01 
19 153 0 0 0 4.719242e-02 1.138349e+01 -9.036316e-02 -2.335827e-01 
20 161 0 0 0 5.327331e-02 1.174141e+01 -1.974459e-01 5.644780e-02 
21 169 0 0 0 5.798524e-02 1.083037e+01 -2.170553e-01 1.293838e-01 
22 177 0 0 0 8.055826e-02 1.150777e+01 -5.666633e-02 2.652659e-01 
23 185 0 0 0 8.769121e-02 1.098327e+01 -1.130341e-01 2.998011e-01 
24 193 0 0 0 1.194370e-01 1.086631e+01 -1.019445e-01 3.734134e-01 
25 201 0 0 0 1.164392e-01 1.201690e+01 -6.303342e-02 5.109007e-01 
26 209 0 0 0 1.075836e-01 1.260199e+01 -3.883465e-02 5.259419e-01 
27 217 0 0 0 1.011534e-01 1.295135e+01 -5.566533e-02 4.146873e-01 
28 225 0 0 0 1.279788e-01 1.241470e+01 -3.112754e-02 4.181887e-01 
29 233 0 0 0 9.038955e-02 1.294288e+01 -2.500588e-02 4.058910e-01 
30 241 0 0 0 8.085763e-02 1.351049e+01 -9.438998e-03 4.117906e-01 
31 249 0 0 0 5.044729e-02 1.371760e+01 -3.203058e-02 3.768858e-01 
32 257 0 0 0 6.717565e-02 1.347006e+01 -2.606693e-02 6.692092e-01 
33 265 0 0 0 1.052469e-01 1.326404e+01 -6.352260e-02 6.637163e-01 
34 273 0 0 0 9.773266e-02 1.326315e+01 -5.868486e-02 9.630372e-01 
35 281 0 0 0 1.128731e-01 1.357628e+01 -3.213090e-02 9.222742e-01 
36 289 0 0 0 1.017601e-01 1.339114e+01 -2.787120e-02 9.026343e-01 
37 297 0 0 0 1.208672e-01 1.344887e+01 -1.240595e-02 9.443263e-01 
38 305 0 0 0 1.193860e-01 1.345899e+01 -1.442172e-02 9.717291e-01 
39 313 0 0 0 1.341212e-01 1.384806e+01 -1.048636e-02 9.578543e-01 
40 321 0 0 0 1.389266e-01 1.405147e+01 -7.720048e-03 9.494199e-01 
41 329 0 0 0 1.421227e-01 1.406271e+01 -1.559199e-02 9.880948e-01 
42 337 0 0 0 1.316488e-01 1.442359e+01 -1.231053e-02 1.015112e+00 
43 345 0 0 0 1.470920e-01 1.449465e+01 -8.138575e-03 1.064068e+00 
44 353 0 0 0 1.501515e-01 1.458400e+01 -7.902120e-03 1.121257e+00 
45 361 0 0 0 1.596763e-01 1.470247e+01 -1.101960e-02 1.140571e+00 
46 369 0 0 0 1.466897e-01 1.468220e+01 -1.440051e-02 1.136350e+00 
47 377 0 0 0 1.574580e-01 1.479490e+01 -9.618815e-03 1.156824e+00 
48 385 0 0 0 1.561999e-01 1.485980e+01 -9.368638e-03 1.169564e+00 
49 393 0 0 0 1.639657e-01 1.510803e+01 -1.047864e-02 1.247104e+00 
50 401 0 0 0 1.590598e-01 1.532652e+01 -6.487148e-03 1.168802e+00 
51 409 0 0 0 1.586610e-01 1.556737e+01 -8.560386e-03 1.247634e+00 
52 417 0 0 0 1.569614e-01 1.574324e+01 -1.114200e-02 1.270918e+00 
53 425 0 0 0 1.624393e-01 1.587891e+01 -1.290207e-02 1.300990e+00 
